text,label,language,source
हाम्रो न्यूजलेटरमा स्वागत छ! यस महिनाका अपडेटहरू तल छन्। Sent from our secure servers.,Safe,NP,synthetic
"Hello, नए डिवाइस से असामान्य लॉगिन। यदि आपने नहीं किया तो [LINK] पर जाएँ और सुरक्षित करें। Sent from our secure servers.",Phishing,HI,synthetic
"Your subscription has been renewed successfully. No action needed. If you have questions, reply to this email.",Safe,EN,synthetic
सूचना: Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from SpamAssassin (public corpus)) Sent from our secure servers.,Phishing,NP,SpamAssassin (public corpus) (sanitized)
"Dear user, we detected suspicious activity on your account. Verify now at [LINK] to avoid suspension. Sent from our secure servers.",Phishing,EN,synthetic
Attention: नयाँ उपकरणबाट असामान्य लगइन। यदि यो तपाईंले गर्नुभएको होइन भने [LINK] मा गएर सुरक्षित गर्नुहोस्। Sent from our secure servers.,Phishing,NP,synthetic
"नोटिस: Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from Enron (public corpus)) For support, contact helpdesk.",Phishing,HI,Enron (public corpus) (sanitized)
"सूचना: Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from HuggingFace (phishing datasets)) For support, contact helpdesk.",Phishing,NP,HuggingFace (phishing datasets) (sanitized)
"Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,EN,Enron (public corpus) (sanitized)
"Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Phishing,EN,Enron (public corpus) (sanitized)
"We received your request. A representative will contact you within 2 business days. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,EN,Enron (public corpus) (sanitized)
Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from HuggingFace (phishing datasets)),Safe,EN,HuggingFace (phishing datasets) (sanitized)
"Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached. For support, contact helpdesk.",Safe,EN,synthetic
Attention: You won a reward! Claim your prize by filling the form at [LINK]. Sent from our secure servers.,Phishing,EN,synthetic
"Hello, प्रिय प्रयोगकर्ता, तपाईँको खातामा असामान्य गतिविधि भेटियो। कृपया [LINK] मा गएर पुष्टि गर्नुहोस्। Sent from our secure servers.",Phishing,NP,synthetic
You won a reward! Claim your prize by filling the form at [LINK].,Phishing,EN,synthetic
"Hello, Password reset requested. Reset using: [LINK]. This expires in 24 hours. If you have questions, reply to this email.",Phishing,EN,synthetic
हमारे न्यूजलेटर में आपका स्वागत है! इस महीने की मुख्य जानकारी नीचे है। Sent from our secure servers.,Safe,HI,synthetic
Welcome to our newsletter! Here are this month's updates and tips. Sent from our secure servers.,Safe,EN,synthetic
"Dear Customer, You won a reward! Claim your prize by filling the form at [LINK].",Phishing,EN,synthetic
Delivery notice: A package is waiting for pickup at the local office. See attached slip. (sanitized sample from SpamAssassin (public corpus)),Safe,EN,SpamAssassin (public corpus) (sanitized)
"Attention: आपका भुगतान असफल रहा। कृपया [LINK] पर जाकर अपना बिलिंग विवरण अपडेट करें। If you have questions, reply to this email.",Phishing,HI,synthetic
"सूचना: Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from Enron (public corpus)) For support, contact helpdesk.",Safe,NP,Enron (public corpus) (sanitized)
"Dear Customer, तपाईंले पुरस्कार जित्नुभयो! दाबी गर्न [LINK] मा फर्म भर्नुहोस्। If you have questions, reply to this email.",Phishing,NP,synthetic
Action required: Please update your contact details in the HR portal within 48 hours. (sanitized sample from PhishTank (verified phishing)),Safe,EN,PhishTank (verified phishing) (sanitized)
"Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from PhishTank (verified phishing)) For support, contact helpdesk.",Phishing,EN,PhishTank (verified phishing) (sanitized)
"नोटिस: Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from Kaggle (phishing collections)) If you have questions, reply to this email.",Safe,HI,Kaggle (phishing collections) (sanitized)
"Dear Customer, Password reset requested. Reset using: [LINK]. This expires in 24 hours. If you have questions, reply to this email.",Phishing,EN,synthetic
"Dear Customer, नए डिवाइस से असामान्य लॉगिन। यदि आपने नहीं किया तो [LINK] पर जाएँ और सुरक्षित करें। Sent from our secure servers.",Phishing,HI,synthetic
टिकट अपडेट: आपकी यात्रा का समय बदल दिया गया है। कृपया संलग्न विवरण देखें। Sent from our secure servers.,Safe,HI,synthetic
We received your request. A representative will contact you within 2 business days. (sanitized sample from SpamAssassin (public corpus)) Sent from our secure servers.,Phishing,EN,SpamAssassin (public corpus) (sanitized)
"We received your request. A representative will contact you within 2 business days. (sanitized sample from Enron (public corpus)) If you have questions, reply to this email.",Safe,EN,Enron (public corpus) (sanitized)
सूचना: Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from PhishTank (verified phishing)),Phishing,NP,PhishTank (verified phishing) (sanitized)
"Dear Customer, प्रिय प्रयोगकर्ता, तपाईँको खातामा असामान्य गतिविधि भेटियो। कृपया [LINK] मा गएर पुष्टि गर्नुहोस्।",Phishing,NP,synthetic
"नमस्कार, तपाईंको बुकिंग सफल भयो। विवरण यस ईमेलमा संलग्न छन्। Sent from our secure servers.",Safe,NP,synthetic
"Attention: पासवर्ड रीसेट का अनुरोध मिला। इसे 24 घंटे में [LINK] से रीसेट करें। For support, contact helpdesk.",Phishing,HI,synthetic
"Subscription confirmation: Your subscription has been activated. Thank you for choosing our service. (sanitized sample from SpamAssassin (public corpus)) For support, contact helpdesk.",Safe,EN,SpamAssassin (public corpus) (sanitized)
"Alert: Unusual sign-in detected. If this wasn't you, reset your password immediately. (sanitized sample from Kaggle (phishing collections)) Sent from our secure servers.",Phishing,EN,Kaggle (phishing collections) (sanitized)
"Hello, your order #73484 has been shipped. Track it using the tracking number attached. Sent from our secure servers.",Safe,EN,synthetic
"Hello, आपने इनाम जीता! प्राप्त करने के लिए [LINK] पर फॉर्म भरें। Sent from our secure servers.",Phishing,HI,synthetic
"Attention: Unusual login attempt from a new device. Secure your account here: [LINK]. For support, contact helpdesk.",Phishing,EN,synthetic
Attention: Your payment could not be processed. Update billing information here: [LINK]. Sent from our secure servers.,Phishing,EN,synthetic
"स्मरण: प्रस्तुति मिति नजिकै छ। तयारीहरू साझा गर्नुहोस्। For support, contact helpdesk.",Safe,NP,synthetic
"Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from PhishTank (verified phishing)) For support, contact helpdesk.",Safe,EN,PhishTank (verified phishing) (sanitized)
स्मरण: प्रस्तुति मिति नजिकै छ। तयारीहरू साझा गर्नुहोस्। Sent from our secure servers.,Safe,NP,synthetic
"Your subscription has been renewed successfully. No action needed. For support, contact helpdesk.",Safe,EN,synthetic
"नोटिस: Delivery notice: A package is waiting for pickup at the local office. See attached slip. (sanitized sample from SpamAssassin (public corpus)) For support, contact helpdesk.",Phishing,HI,SpamAssassin (public corpus) (sanitized)
"Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached. If you have questions, reply to this email.",Safe,EN,synthetic
Your account activity statement is ready. Log in to the official site to view details. (sanitized sample from PhishTank (verified phishing)),Safe,EN,PhishTank (verified phishing) (sanitized)
सूचना: We received your request. A representative will contact you within 2 business days. (sanitized sample from Enron (public corpus)) Sent from our secure servers.,Safe,NP,Enron (public corpus) (sanitized)
"Welcome to our newsletter! Here are this month's updates and tips. For support, contact helpdesk.",Safe,EN,synthetic
We received your request. A representative will contact you within 2 business days. (sanitized sample from SpamAssassin (public corpus)) Sent from our secure servers.,Safe,EN,SpamAssassin (public corpus) (sanitized)
"सूचना: Alert: Unusual sign-in detected. If this wasn't you, reset your password immediately. (sanitized sample from SpamAssassin (public corpus)) For support, contact helpdesk.",Phishing,NP,SpamAssassin (public corpus) (sanitized)
Your subscription has been renewed successfully. No action needed.,Safe,EN,synthetic
"Thank you for your purchase. Your invoice is attached to this email. If you have questions, reply to this email.",Safe,EN,synthetic
Reminder: Company policy update requires your acknowledgment. Please visit the internal portal to sign. (sanitized sample from Kaggle (phishing collections)),Safe,EN,Kaggle (phishing collections) (sanitized)
"Hello, your order #43024 has been shipped. Track it using the tracking number attached. If you have questions, reply to this email.",Safe,EN,synthetic
"Hello, your order #41631 has been shipped. Track it using the tracking number attached. If you have questions, reply to this email.",Safe,EN,synthetic
Reminder: Team meeting tomorrow at 10:00 AM. Agenda attached. Sent from our secure servers.,Safe,EN,synthetic
Welcome to our newsletter! Here are this month's updates and tips. Sent from our secure servers.,Safe,EN,synthetic
"Please review the attached invoice for your recent transaction and confirm receipt. (sanitized sample from Kaggle (phishing collections)) If you have questions, reply to this email.",Safe,EN,Kaggle (phishing collections) (sanitized)
Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from PhishTank (verified phishing)) Sent from our secure servers.,Phishing,EN,PhishTank (verified phishing) (sanitized)
Thank you for your purchase. Your invoice is attached to this email. Sent from our secure servers.,Safe,EN,synthetic
आपकी सदस्यता सफलतापूर्वक नवीनीकृत कर दी गई है। धन्यवाद।,Safe,HI,synthetic
"Dear Customer, Your payment could not be processed. Update billing information here: [LINK].",Phishing,EN,synthetic
"नोटिस: FYI: Meeting minutes attached. Let me know if any changes are needed. (sanitized sample from SpamAssassin (public corpus)) For support, contact helpdesk.",Safe,HI,SpamAssassin (public corpus) (sanitized)
"Hello, आपका भुगतान असफल रहा। कृपया [LINK] पर जाकर अपना बिलिंग विवरण अपडेट करें। If you have questions, reply to this email.",Phishing,HI,synthetic
"सूचना: Notification: Scheduled maintenance tonight. Services may be temporarily unavailable. (sanitized sample from SpamAssassin (public corpus)) For support, contact helpdesk.",Safe,NP,SpamAssassin (public corpus) (sanitized)
"Dear Customer, Dear user, we detected suspicious activity on your account. Verify now at [LINK] to avoid suspension. For support, contact helpdesk.",Phishing,EN,synthetic
"तपाईंले पुरस्कार जित्नुभयो! दाबी गर्न [LINK] मा फर्म भर्नुहोस्। If you have questions, reply to this email.",Phishing,NP,synthetic
